hamming_distance,exact_duplicate,same_class,cross_split,split_a,split_b,class_a,class_b,filename_a,filename_b,filepath_a,filepath_b
0,False,True,False,train,train,large.cell.carcinoma,large.cell.carcinoma,000033 (3).png,000033 (4).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000033 (3).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\large.cell.carcinoma_left.hilum_T2_N2_M0_IIIa\000033 (4).png
0,False,True,False,test,test,adenocarcinoma,adenocarcinoma,000113 (7).png,000155 (4).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000113 (7).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\adenocarcinoma\000155 (4).png
0,False,True,False,test,test,squamous.cell.carcinoma,squamous.cell.carcinoma,000133 (2).png,000154 (2).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\squamous.cell.carcinoma\000133 (2).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\squamous.cell.carcinoma\000154 (2).png
0,False,True,False,test,test,normal,normal,10 - Copy (2) - Copy.png,10 - Copy (3).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (3).png
0,False,True,False,test,test,normal,normal,10 - Copy (2) - Copy.png,10 - Copy - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy - Copy.png
0,False,True,False,test,test,normal,normal,10 - Copy (2) - Copy.png,10 - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy.png
0,False,True,False,test,test,normal,normal,10 - Copy (2) - Copy.png,10.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10.png
0,False,True,True,test,train,normal,normal,10 - Copy (2) - Copy.png,10 - Copy (3).png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\10 - Copy (3).png
0,False,True,True,test,train,normal,normal,10 - Copy (2) - Copy.png,10 - Copy - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\10 - Copy - Copy.png
0,False,True,True,test,train,normal,normal,10 - Copy (2) - Copy.png,10 - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\test\normal\10 - Copy (2) - Copy.png,C:\Users\shrey\Downloads\MIP_project_part2\Lung-Cancer-Classification-\Data\train\normal\10 - Copy.png
